"Table 23. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2006 and 2007 NSDUHs  ",,,,,,,,,,,,,
"NOTE: Major depressive episode is defined as in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which specifies a period of at least 2 weeks when a person experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section A.11 in Appendix A of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs.",,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent major depressive episode modules. Therefore, data from youths aged 12 to 17 were not combined with data from persons aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,
NOTE: The 2006-2007 estimates may differ from estimates published prior to 2012 due to updates (see Section 1.5 of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs). ,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006 and 2007 (Revised March 2012).",,,,,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
1,Total U.S.,6.62%,6.37%,6.87%,8.04%,7.70%,8.40%,8.07%,7.74%,8.41%,6.36%,6.09%,6.65%
2,Northeast,6.42%,5.97%,6.90%,7.73%,7.19%,8.30%,8.02%,7.41%,8.67%,6.15%,5.65%,6.70%
3,Midwest,6.84%,6.47%,7.23%,8.19%,7.75%,8.65%,8.63%,8.15%,9.13%,6.53%,6.12%,6.96%
4,South,6.77%,6.39%,7.17%,8.19%,7.74%,8.67%,7.87%,7.42%,8.34%,6.59%,6.16%,7.04%
5,West,6.31%,5.84%,6.81%,7.92%,7.32%,8.56%,7.87%,7.24%,8.54%,6.02%,5.50%,6.60%
6,Alabama,5.98%,4.86%,7.35%,7.66%,6.34%,9.23%,7.60%,6.12%,9.41%,5.71%,4.49%,7.23%
7,Alaska,6.85%,5.59%,8.38%,8.07%,6.64%,9.78%,8.48%,6.85%,10.44%,6.55%,5.15%,8.30%
8,Arizona,6.78%,5.55%,8.27%,8.14%,6.74%,9.80%,8.29%,6.72%,10.19%,6.52%,5.18%,8.19%
9,Arkansas,7.51%,6.20%,9.08%,8.16%,6.79%,9.79%,9.13%,7.47%,11.12%,7.24%,5.80%,9.00%
10,California,5.88%,5.15%,6.71%,7.56%,6.64%,8.59%,7.43%,6.50%,8.49%,5.58%,4.76%,6.53%
11,Colorado,6.58%,5.36%,8.06%,8.94%,7.44%,10.72%,8.59%,6.93%,10.61%,6.24%,4.91%,7.89%
12,Connecticut,6.24%,5.06%,7.67%,7.59%,6.28%,9.13%,8.05%,6.55%,9.87%,5.96%,4.68%,7.56%
13,Delaware,6.47%,5.30%,7.88%,8.91%,7.38%,10.71%,7.99%,6.44%,9.89%,6.22%,4.95%,7.78%
